DEPTH,DT,GR,LLD,LLS,PHIE,PHIT,RHOB,SW,TNPH,VWCL
1455.8,123.6795,79.3807,5.4785,4.7475,0.170226,0.255542,2.1627,0.8564,0.497917,0.5684
1455.9,121.698,79.9541,5.629,4.867,0.180628,0.264127,2.1586,0.8121,0.486655,0.5563
1456.0,117.506,79.9537,5.938,5.121,0.169726,0.255119,2.1718,0.8203,0.488079,0.569
1456.1,116.0255,82.2894,6.0675,5.232,0.110602,0.203889,2.2003,0.9863,0.490378,0.6216
1456.2,114.545,85.843,6.197,5.343,0.057226,0.158739,2.2267,1.0,0.481083,0.6764
1456.3,113.182,87.2976,6.241,5.387,0.056973,0.158534,2.2301,1.0,0.4634,0.6767
1456.4,112.94,86.9333,6.14,5.3035,0.073547,0.172198,2.2271,1.0,0.454538,0.6573
1456.5,112.698,85.0574,6.039,5.22,0.085835,0.182581,2.2259,1.0,0.465528,0.6446
1456.6,112.408,82.8202,5.758,4.972,0.085036,0.1819,2.2284,1.0,0.486263,0.6454
1456.7,112.435,79.1847,5.6655,4.8815,0.103629,0.197853,2.2314,1.0,0.50215,0.6278
1456.8,112.462,76.0964,5.573,4.791,0.115434,0.208083,2.2349,1.0,0.515168,0.6173
1456.9,113.409,75.6567,5.538,4.734,0.087457,0.183963,2.2427,1.0,0.532973,0.643
1457.0,114.5035,76.2366,5.5595,4.742,0.052626,0.155042,2.2628,1.0,0.54642,0.6824
1457.1,115.598,76.8931,5.581,4.75,0.04203,0.146765,2.2785,1.0,0.543725,0.6978
1457.2,118.924,77.2534,5.596,4.744,0.048813,0.152021,2.2771,1.0,0.534212,0.6877
1457.3,120.8465,78.6237,5.579,4.7145,0.043131,0.147606,2.2721,1.0,0.533318,0.6961
1457.4,122.769,81.4175,5.562,4.685,0.024942,0.134585,2.2627,1.0,0.542313,0.7305
1457.5,124.526,85.2941,5.552,4.6525,0.0001,0.117719,2.257,1.0,0.549656,0.7837
1457.6,126.283,87.9213,5.542,4.62,0.0001,0.122958,2.2507,1.0,0.55137,0.8186
1457.7,128.777,87.953,5.605,4.607,0.0001,0.119884,2.2153,1.0,0.557343,0.7981
1457.8,129.307,86.3979,5.7255,4.667,0.014538,0.128737,2.1758,1.0,0.570911,0.7609
1457.9,129.837,84.694,5.846,4.727,0.020856,0.13206,2.1577,1.0,0.584631,0.7409
1458.0,129.464,83.9754,6.389,5.063,0.027967,0.136581,2.1426,1.0,0.587878,0.7237
1458.1,128.723,83.3425,6.826,5.3335,0.049278,0.152387,2.1261,1.0,0.576237,0.687
1458.2,127.982,81.9379,7.263,5.604,0.107037,0.2008,2.0992,0.9019,0.558407,0.6247
1458.3,125.391,79.8533,8.242,6.136,0.186432,0.268272,2.0567,0.6464,0.542056,0.5453
1458.4,123.3585,78.4299,8.5195,6.2085,0.206929,0.281266,2.0345,0.6327,0.529066,0.4953
1458.5,121.326,77.9617,8.797,6.281,0.212005,0.284484,2.0435,0.6213,0.51767,0.4829
1458.6,115.691,77.6634,8.558,5.883,0.220459,0.289843,2.041,0.6308,0.505789,0.4623
1458.7,112.484,76.7058,8.1575,5.5475,0.23412,0.298503,2.0214,0.6483,0.499594,0.429
1458.8,109.277,75.8171,7.757,5.212,0.236773,0.300185,2.0135,0.6668,0.505882,0.4225
1458.9,103.775,75.811,6.94,4.633,0.222889,0.291383,2.0292,0.7087,0.522004,0.4564
1459.0,102.3415,76.2689,6.6705,4.4555,0.188393,0.269515,2.1101,0.7267,0.532722,0.5405
1459.1,100.908,76.44,6.401,4.278,0.111948,0.205056,2.2234,0.9534,0.52218,0.6204
1459.2,101.273,76.0163,6.083,4.081,0.081207,0.178651,2.3094,1.0,0.493975,0.6493
1459.3,102.556,76.4601,6.0075,4.037,0.046918,0.150536,2.4008,1.0,0.465563,0.6904
1459.4,103.839,77.3032,5.932,3.993,0.028158,0.13671,2.4587,1.0,0.44863,0.7233
1459.5,106.607,77.3844,6.008,4.008,0.030835,0.138552,2.4614,1.0,0.442172,0.7177
1459.6,107.2275,79.127,6.1335,4.034,0.043321,0.147752,2.4197,1.0,0.437898,0.6958
1459.7,107.848,81.2534,6.259,4.06,0.072319,0.17117,2.3601,1.0,0.428918,0.6586
1459.8,107.087,81.4991,6.531,4.083,0.122816,0.214173,2.3167,0.9108,0.41565,0.6087
1459.9,106.16,79.7942,6.6415,4.0975,0.144673,0.228799,2.2896,0.825,0.41011,0.5605
1460.0,105.233,78.1551,6.752,4.112,0.151671,0.235434,2.2846,0.799,0.424293,0.5581
1460.1,103.762,78.1372,6.848,4.119,0.14493,0.233764,2.2838,0.8255,0.450592,0.5919
1460.2,103.7055,78.0788,6.809,4.077,0.129211,0.220074,2.2747,0.8724,0.46699,0.6054
1460.3,103.649,77.7139,6.77,4.035,0.142661,0.23179,2.2743,0.8371,0.461192,0.5938
1460.4,104.741,77.6464,6.545,3.891,0.151367,0.238074,2.2864,0.8239,0.441921,0.5777
1460.5,105.3325,77.6228,6.3205,3.783,0.142402,0.227527,2.301,0.8574,0.425093,0.5672
1460.6,105.924,77.4979,6.096,3.675,0.134184,0.219888,2.3144,0.8994,0.420661,0.571
1460.7,106.0365,79.2925,5.765,3.513,0.12864,0.218534,2.3168,0.956,0.426589,0.599
1460.8,106.149,81.6442,5.434,3.351,0.111309,0.204502,2.3054,1.0,0.430647,0.6209
1460.9,105.423,82.4266,4.938,3.076,0.151915,0.239828,2.2672,0.9666,0.420516,0.5858
1461.0,105.106,83.4171,4.9945,3.0825,0.176735,0.256775,2.2269,0.8884,0.396384,0.5333
1461.1,104.789,84.4757,5.051,3.089,0.102476,0.177797,2.2074,1.0,0.374301,0.5019
1461.2,105.382,84.7055,6.016,3.53,0.094799,0.170597,2.2163,1.0,0.368946,0.505
1461.3,106.3335,84.8347,6.9145,3.973,0.078878,0.161255,2.2498,1.0,0.380268,0.5489
