DEPTH,DT,GR,LLD,LLS,PHIE,PHIT,RHOB,SW,TNPH,VWCL
1405.12802,108.6266,93.7375,5.719,5.427,0.0001,0.168352,2.403,1.0,0.47624,0.8094
1405.28042,107.211,94.6771,5.879,5.601,0.0001,0.164989,2.375,1.0,0.463852,0.7933
1405.43282,106.2604,98.3655,6.0059,5.7299,0.0001,0.181345,2.418,1.0,0.459399,0.8719
1405.58522,105.854,99.239,6.082,5.791,0.0001,0.183786,2.433,1.0,0.461063,0.8837
1405.73762,106.0413,96.7542,6.109,5.793,0.0001,0.181332,2.438,1.0,0.463864,0.8719
1405.89002,106.8389,94.5082,6.067,5.734,0.0001,0.172304,2.423,1.0,0.469697,0.8284
1406.04242,108.0373,98.085,5.97,5.631,0.0001,0.1948,2.486,1.0,0.477975,0.9367
1406.19482,109.2878,94.5696,5.86,5.509,0.0001,0.184115,2.491,1.0,0.479813,0.8853
1406.34722,110.2351,92.1751,5.769,5.4,0.0001,0.164475,2.423,1.0,0.468937,0.7908
1406.49962,110.5929,97.2379,5.708,5.33,0.0001,0.1697,2.355,1.0,0.454365,0.8159
1406.65202,110.3299,103.4318,5.68,5.298,0.0001,0.16983,2.341,1.0,0.455302,0.8165
1406.80442,109.6252,102.3193,5.701,5.314,0.0001,0.175616,2.361,1.0,0.469131,0.8444
1406.95682,108.7759,99.438,5.77,5.372,0.0001,0.178744,2.37,1.0,0.477743,0.8594
1407.10922,108.0662,98.8132,5.881,5.468,0.0001,0.175649,2.359,1.0,0.470534,0.8445
1407.26162,107.662,98.5038,6.032,5.601,0.000101,0.169693,2.341,1.0,0.454675,0.8159
1407.41402,107.699,89.8396,6.1859,5.7469,0.033909,0.181862,2.388,1.0,0.447475,0.7118
1407.56642,108.275,88.677,6.26,5.823,0.025264,0.176958,2.432,1.0,0.451336,0.7298
1407.71882,109.2353,88.4336,6.1909,5.7639,0.029683,0.179356,2.403,1.0,0.463347,0.7201
1407.87122,110.1839,93.3875,6.004,5.591,0.01339,0.172463,2.33,1.0,0.485618,0.7653
1408.02362,110.8271,97.1252,5.804,5.394,0.0001,0.173963,2.293,1.0,0.514984,0.8364
1408.17602,111.061,101.5293,5.71,5.296,0.0001,0.179785,2.291,1.0,0.532292,0.8644
1408.32842,110.8309,98.782,5.728,5.312,0.0001,0.179642,2.308,1.0,0.52092,0.8637
1408.48082,110.1322,98.578,5.778,5.36,0.0001,0.174337,2.318,1.0,0.490388,0.8382
1408.63322,109.1479,104.1077,5.848,5.428,0.0001,0.170897,2.335,1.0,0.463954,0.8217
1408.78562,108.3152,101.9546,5.947,5.524,0.0001,0.175823,2.387,1.0,0.453691,0.8454
1408.93802,108.1911,94.8355,6.016,5.591,0.0001,0.179882,2.489,1.0,0.457486,0.8649
1409.09042,108.9497,87.7705,6.008,5.592,0.0001,0.158437,2.467,1.0,0.470442,0.7617
1409.24282,110.13,86.9831,5.936,5.547,0.04196,0.187038,2.364,1.0,0.483891,0.6979
1409.39522,111.1086,92.3118,5.8111,5.446,0.000117,0.16761,2.405,1.0,0.492576,0.8058
1409.54762,111.613,88.6192,5.679,5.322,0.0001,0.166435,2.468,1.0,0.496226,0.8002
1409.70002,111.74,88.0464,5.587,5.236,0.0001,0.162954,2.463,1.0,0.49036,0.7835
1409.85242,111.748,98.6678,5.513,5.175,0.0001,0.181452,2.391,1.0,0.476886,0.8725
1410.00482,111.854,101.3088,5.453,5.117,0.0001,0.178872,2.368,1.0,0.479586,0.86
1410.15722,111.977,104.2605,5.47,5.118,0.0001,0.183147,2.357,1.0,0.506045,0.8806
1410.30962,111.7698,104.3158,5.568,5.198,0.0001,0.188079,2.368,1.0,0.521637,0.9043
1410.46202,110.8832,103.0193,5.701,5.319,0.0001,0.185629,2.379,1.0,0.503518,0.8925
1410.61442,109.0757,100.9989,5.876,5.485,0.0001,0.183732,2.413,1.0,0.473417,0.8834
1410.76682,106.6157,100.5661,6.0989,5.6909,0.0001,0.189167,2.473,1.0,0.460438,0.9096
1410.91922,104.3879,91.296,6.332,5.905,0.0001,0.174113,2.528,1.0,0.459011,0.8371
1411.07162,103.2714,91.314,6.4939,6.0649,0.0001,0.170601,2.514,1.0,0.451542,0.8202
1411.22402,103.542,95.309,6.501,6.08,0.0001,0.17925,2.498,1.0,0.441213,0.8619
1411.37642,104.7765,94.6923,6.3661,5.9521,0.0001,0.172325,2.471,1.0,0.4366,0.8285
1411.52882,106.1899,89.6073,6.196,5.782,0.020814,0.173642,2.442,1.0,0.438657,0.7352
1411.68122,107.2232,96.4212,6.081,5.668,0.0001,0.172543,2.411,1.0,0.446596,0.8296
1411.83362,107.8239,100.4255,6.046,5.641,0.0001,0.178363,2.404,1.0,0.454571,0.8576
1411.98602,108.124,96.0439,6.073,5.676,0.0001,0.169596,2.391,1.0,0.452256,0.8154
1412.13842,108.275,103.7946,6.106,5.712,0.0001,0.178126,2.419,1.0,0.444041,0.8564
1412.29082,108.5931,102.0985,6.123,5.73,0.0001,0.176538,2.402,1.0,0.447499,0.8488
1412.44322,109.3508,99.4656,6.151,5.763,0.0001,0.178135,2.379,1.0,0.469283,0.8565
